time, omega, abs(psi(t)), arg(psi(t)), abs(psi(omega)), arg(psi(omega))
1.00000e-01,0.00000e+00,1.13246e-01,7.40077e-01,2.40978e+00,-2.71683e+00
2.00000e-01,6.28319e-02,1.62174e-01,1.16266e+00,1.68624e+00,1.44036e+00
3.00000e-01,1.25664e-01,2.05983e-01,1.38010e+00,1.22379e+00,1.76226e+00
4.00000e-01,1.88496e-01,2.28808e-01,1.55943e+00,1.16407e+00,2.05356e+00
5.00000e-01,2.51327e-01,2.35257e-01,1.76139e+00,2.88683e+00,-5.73685e-02
6.00000e-01,3.14159e-01,2.33144e-01,1.99493e+00,3.15363e-01,1.98844e+00
7.00000e-01,3.76991e-01,2.27523e-01,2.25502e+00,6.22746e-01,-2.27788e+00
8.00000e-01,4.39823e-01,2.20946e-01,2.53471e+00,4.87254e+00,-1.78024e+00
9.00000e-01,5.02655e-01,2.14531e-01,2.82810e+00,6.50772e+00,1.53620e+00
1.00000e+00,5.65487e-01,2.08676e-01,3.13075e+00,3.25634e+00,1.64845e+00
1.10000e+00,6.28319e-01,2.03439e-01,-2.84367e+00,2.56686e+00,1.74900e+00
1.20000e+00,6.91150e-01,1.98730e-01,-2.53093e+00,2.27838e+00,1.86784e+00
1.30000e+00,7.53982e-01,1.94404e-01,-2.21556e+00,2.15470e+00,2.05595e+00
1.40000e+00,8.16814e-01,1.90308e-01,-1.89829e+00,2.37570e+00,2.47662e+00
1.50000e+00,8.79646e-01,1.86298e-01,-1.57945e+00,1.99059e+01,-2.83591e+00
1.60000e+00,9.42478e-01,1.82299e-01,-1.25897e+00,3.65495e+00,1.00574e+00
1.70000e+00,1.00531e+00,1.78156e-01,-9.36234e-01,2.71333e+00,1.27081e+00
1.80000e+00,1.06814e+00,1.74052e-01,-6.11544e-01,2.48391e+00,1.39869e+00
1.90000e+00,1.13097e+00,1.69547e-01,-2.82441e-01,2.40046e+00,1.47569e+00
2.00000e+00,1.19381e+00,1.65640e-01,5.01385e-02,2.37230e+00,1.52904e+00
2.10000e+00,1.25664e+00,1.61046e-01,3.85660e-01,2.37282e+00,1.56968e+00
2.20000e+00,1.31947e+00,1.57150e-01,7.32565e-01,2.39166e+00,1.60291e+00
2.30000e+00,1.38230e+00,1.54384e-01,1.08016e+00,2.42413e+00,1.63171e+00
2.40000e+00,1.44513e+00,1.51485e-01,1.43040e+00,2.46803e+00,1.65806e+00
2.50000e+00,1.50796e+00,1.48947e-01,1.79103e+00,2.52256e+00,1.68361e+00
2.60000e+00,1.57080e+00,1.48564e-01,2.16343e+00,2.58798e+00,1.71015e+00
2.70000e+00,1.63363e+00,1.51793e-01,2.52723e+00,2.66594e+00,1.74043e+00
2.80000e+00,1.69646e+00,1.54337e-01,2.86761e+00,2.76133e+00,1.78007e+00
2.90000e+00,1.75929e+00,1.53820e-01,-3.06158e+00,2.89142e+00,1.84506e+00
3.00000e+00,1.82212e+00,1.57283e-01,-2.67938e+00,3.17610e+00,2.01055e+00
3.10000e+00,1.88496e+00,1.67939e-01,-2.31772e+00,1.64618e+01,1.87226e-01
3.20000e+00,1.94779e+00,1.80185e-01,-2.00450e+00,3.14357e+00,1.41203e+00
3.30000e+00,2.01062e+00,1.86053e-01,-1.72324e+00,3.23226e+00,1.56873e+00
3.40000e+00,2.07345e+00,1.83241e-01,-1.41724e+00,3.38357e+00,1.62916e+00
3.50000e+00,2.13628e+00,1.83597e-01,-1.05463e+00,3.55752e+00,1.66373e+00
3.60000e+00,2.19911e+00,1.96237e-01,-7.02068e-01,3.75382e+00,1.68758e+00
3.70000e+00,2.26195e+00,2.11494e-01,-4.08303e-01,3.97624e+00,1.70590e+00
3.80000e+00,2.32478e+00,2.21002e-01,-1.44361e-01,4.23012e+00,1.72094e+00
3.90000e+00,2.38761e+00,2.24121e-01,1.12224e-01,4.52247e+00,1.73386e+00
4.00000e+00,2.45044e+00,2.20552e-01,3.70959e-01,4.86256e+00,1.74530e+00
4.10000e+00,2.51327e+00,2.09589e-01,6.52614e-01,5.26284e+00,1.75566e+00
4.20000e+00,2.57611e+00,1.98653e-01,9.92287e-01,5.74049e+00,1.76520e+00
4.30000e+00,2.63894e+00,1.99518e-01,1.36007e+00,6.31996e+00,1.77409e+00
4.40000e+00,2.70177e+00,2.10041e-01,1.68917e+00,7.03720e+00,1.78245e+00
4.50000e+00,2.76460e+00,2.19455e-01,1.96200e+00,7.94737e+00,1.79039e+00
4.60000e+00,2.82743e+00,2.18986e-01,2.20828e+00,9.13967e+00,1.79796e+00
4.70000e+00,2.89027e+00,2.08665e-01,2.46851e+00,1.07684e+01,1.80523e+00
4.80000e+00,2.95310e+00,1.94686e-01,2.76312e+00,1.31254e+01,1.81223e+00
4.90000e+00,3.01593e+00,1.81629e-01,3.08879e+00,1.68381e+01,1.81900e+00
5.00000e+00,3.07876e+00,1.70837e-01,-2.84467e+00,2.35438e+01,1.82556e+00
5.10000e+00,3.14159e+00,1.62777e-01,-2.47429e+00,3.92972e+01,1.83194e+00
5.20000e+00,3.20442e+00,1.58411e-01,-2.07886e+00,1.20284e+02,1.83815e+00
5.30000e+00,3.26726e+00,1.62822e-01,-1.67450e+00,1.12082e+02,-1.29737e+00
5.40000e+00,3.33009e+00,1.74635e-01,-1.31957e+00,3.80872e+01,-1.29143e+00
5.50000e+00,3.39292e+00,1.83690e-01,-1.01534e+00,2.28923e+01,-1.28562e+00
5.60000e+00,3.45575e+00,1.88023e-01,-7.18041e-01,1.63398e+01,-1.27992e+00
5.70000e+00,3.51858e+00,1.90463e-01,-4.27071e-01,1.26897e+01,-1.27432e+00
5.80000e+00,3.58142e+00,1.88157e-01,-1.46326e-01,1.03637e+01,-1.26882e+00
5.90000e+00,3.64425e+00,1.78274e-01,1.55715e-01,8.75219e+00,-1.26340e+00
6.00000e+00,3.70708e+00,1.69500e-01,5.23286e-01,7.57001e+00,-1.25807e+00
6.10000e+00,3.76991e+00,1.72286e-01,9.06948e-01,6.66590e+00,-1.25281e+00
6.20000e+00,3.83274e+00,1.80430e-01,1.24643e+00,5.95219e+00,-1.24762e+00
6.30000e+00,3.89557e+00,1.86524e-01,1.55196e+00,5.37456e+00,-1.24250e+00
6.40000e+00,3.95841e+00,1.87459e-01,1.84978e+00,4.89754e+00,-1.23744e+00
6.50000e+00,4.02124e+00,1.86366e-01,2.16768e+00,4.49701e+00,-1.23244e+00
6.60000e+00,4.08407e+00,1.88727e-01,2.49124e+00,4.15598e+00,-1.22750e+00
6.70000e+00,4.14690e+00,1.92472e-01,2.79318e+00,3.86214e+00,-1.22261e+00
6.80000e+00,4.20973e+00,1.92863e-01,3.07746e+00,3.60637e+00,-1.21776e+00
6.90000e+00,4.27257e+00,1.88818e-01,-2.92317e+00,3.38175e+00,-1.21297e+00
7.00000e+00,4.33540e+00,1.80147e-01,-2.63029e+00,3.18293e+00,-1.20822e+00
7.10000e+00,4.39823e+00,1.68877e-01,-2.30316e+00,3.00572e+00,-1.20351e+00
7.20000e+00,4.46106e+00,1.62436e-01,-1.93499e+00,2.84681e+00,-1.19884e+00
7.30000e+00,4.52389e+00,1.63154e-01,-1.58475e+00,2.70350e+00,-1.19421e+00
7.40000e+00,4.58673e+00,1.60496e-01,-1.27158e+00,2.57363e+00,-1.18961e+00
7.50000e+00,4.64956e+00,1.50709e-01,-9.31543e-01,2.45539e+00,-1.18506e+00
7.60000e+00,4.71239e+00,1.43949e-01,-5.25528e-01,2.34730e+00,-1.18053e+00
7.70000e+00,4.77522e+00,1.46424e-01,-1.05939e-01,2.24812e+00,-1.17604e+00
7.80000e+00,4.83805e+00,1.55542e-01,2.95093e-01,2.15679e+00,-1.17157e+00
7.90000e+00,4.90088e+00,1.72196e-01,6.52437e-01,2.07243e+00,-1.16714e+00
8.00000e+00,4.96372e+00,1.89291e-01,9.37361e-01,1.99427e+00,-1.16274e+00
8.10000e+00,5.02655e+00,1.96072e-01,1.18200e+00,1.92165e+00,-1.15836e+00
8.20000e+00,5.08938e+00,1.90498e-01,1.44672e+00,1.85402e+00,-1.15401e+00
8.30000e+00,5.15221e+00,1.81807e-01,1.76828e+00,1.79088e+00,-1.14968e+00
8.40000e+00,5.21504e+00,1.79487e-01,2.12603e+00,1.73179e+00,-1.14537e+00
8.50000e+00,5.27788e+00,1.83192e-01,2.47246e+00,1.67640e+00,-1.14110e+00
8.60000e+00,5.34071e+00,1.87122e-01,2.80221e+00,1.62435e+00,-1.13684e+00
8.70000e+00,5.40354e+00,1.91766e-01,3.13351e+00,1.57537e+00,-1.13260e+00
8.80000e+00,5.46637e+00,1.99536e-01,-2.83362e+00,1.52919e+00,-1.12839e+00
8.90000e+00,5.52920e+00,2.04686e-01,-2.54707e+00,1.48559e+00,-1.12419e+00
9.00000e+00,5.59203e+00,2.03268e-01,-2.25454e+00,1.44434e+00,-1.12002e+00
9.10000e+00,5.65487e+00,2.01639e-01,-1.93947e+00,1.40527e+00,-1.11586e+00
9.20000e+00,5.71770e+00,2.01726e-01,-1.62064e+00,1.36821e+00,-1.11173e+00
9.30000e+00,5.78053e+00,2.02567e-01,-1.29777e+00,1.33302e+00,-1.10761e+00
9.40000e+00,5.84336e+00,2.06545e-01,-9.77005e-01,1.29954e+00,-1.10350e+00
9.50000e+00,5.90619e+00,2.10898e-01,-6.77863e-01,1.26768e+00,-1.09941e+00
9.60000e+00,5.96903e+00,2.12115e-01,-3.83505e-01,1.23731e+00,-1.09534e+00
9.70000e+00,6.03186e+00,2.12903e-01,-9.04288e-02,1.20833e+00,-1.09129e+00
9.80000e+00,6.09469e+00,2.11282e-01,1.93265e-01,1.18065e+00,-1.08725e+00
9.90000e+00,6.15752e+00,2.05463e-01,4.80374e-01,1.15418e+00,-1.08322e+00
1.00000e+01,6.22035e+00,1.96506e-01,7.85327e-01,1.12884e+00,-1.07921e+00
1.01000e+01,6.28319e+00,1.88171e-01,1.12423e+00,1.10460e+00,-1.07521e+00
1.02000e+01,6.34602e+00,1.87671e-01,1.48095e+00,1.08134e+00,-1.07123e+00
1.03000e+01,6.40885e+00,1.92877e-01,1.79960e+00,1.05902e+00,-1.06726e+00
1.04000e+01,6.47168e+00,1.92335e-01,2.08541e+00,1.03758e+00,-1.06330e+00
1.05000e+01,6.53451e+00,1.87492e-01,2.39208e+00,1.01699e+00,-1.05935e+00
1.06000e+01,6.59734e+00,1.86265e-01,2.69908e+00,9.97180e-01,-1.05542e+00
1.07000e+01,6.66018e+00,1.82113e-01,2.97255e+00,9.78097e-01,-1.05152e+00
1.08000e+01,6.72301e+00,1.68508e-01,-3.03588e+00,9.59747e-01,-1.04760e+00
1.09000e+01,6.78584e+00,1.49391e-01,-2.71171e+00,9.42052e-01,-1.04370e+00
1.10000e+01,6.84867e+00,1.31900e-01,-2.31076e+00,9.24989e-01,-1.03981e+00
1.11000e+01,6.91150e+00,1.22926e-01,-1.83588e+00,9.08521e-01,-1.03592e+00
1.12000e+01,6.97434e+00,1.26905e-01,-1.33748e+00,8.92627e-01,-1.03206e+00
1.13000e+01,7.03717e+00,1.43776e-01,-9.01048e-01,8.77268e-01,-1.02820e+00
1.14000e+01,7.10000e+00,1.65256e-01,-5.61995e-01,8.62423e-01,-1.02435e+00
1.15000e+01,7.16283e+00,1.82030e-01,-2.86082e-01,8.48065e-01,-1.02052e+00
1.16000e+01,7.22566e+00,1.89843e-01,-2.75702e-02,8.34173e-01,-1.01669e+00
1.17000e+01,7.28849e+00,1.90377e-01,2.43694e-01,8.20723e-01,-1.01287e+00
1.18000e+01,7.35133e+00,1.86942e-01,5.41372e-01,8.07698e-01,-1.00906e+00
1.19000e+01,7.41416e+00,1.84640e-01,8.66957e-01,7.95070e-01,-1.00525e+00
1.20000e+01,7.47699e+00,1.85653e-01,1.20081e+00,7.82831e-01,-1.00146e+00
1.21000e+01,7.53982e+00,1.89752e-01,1.52987e+00,7.70960e-01,-9.97676e-01
1.22000e+01,7.60265e+00,1.95445e-01,1.83868e+00,7.59440e-01,-9.93900e-01
1.23000e+01,7.66549e+00,1.97707e-01,2.13198e+00,7.48262e-01,-9.90127e-01
1.24000e+01,7.72832e+00,1.97611e-01,2.43684e+00,7.37399e-01,-9.86366e-01
1.25000e+01,7.79115e+00,1.99750e-01,2.74211e+00,7.26847e-01,-9.82613e-01
1.26000e+01,7.85398e+00,2.00944e-01,3.02533e+00,7.16592e-01,-9.78866e-01
1.27000e+01,7.91681e+00,1.96144e-01,-2.98144e+00,7.06621e-01,-9.75127e-01
1.28000e+01,7.97965e+00,1.86610e-01,-2.68727e+00,6.96923e-01,-9.71396e-01
1.29000e+01,8.04248e+00,1.75279e-01,-2.36524e+00,6.87487e-01,-9.67671e-01
1.30000e+01,8.10531e+00,1.65210e-01,-2.00608e+00,6.78302e-01,-9.63942e-01
1.31000e+01,8.16814e+00,1.60790e-01,-1.61857e+00,6.69360e-01,-9.60240e-01
1.32000e+01,8.23097e+00,1.62773e-01,-1.22984e+00,6.60650e-01,-9.56535e-01
1.33000e+01,8.29380e+00,1.70989e-01,-8.65118e-01,6.52164e-01,-9.52836e-01
1.34000e+01,8.35664e+00,1.79773e-01,-5.48999e-01,6.43894e-01,-9.49143e-01
1.35000e+01,8.41947e+00,1.82463e-01,-2.51119e-01,6.35826e-01,-9.45464e-01
1.36000e+01,8.48230e+00,1.81165e-01,6.10110e-02,6.27965e-01,-9.41780e-01
1.37000e+01,8.54513e+00,1.79109e-01,3.89584e-01,6.20295e-01,-9.38106e-01
1.38000e+01,8.60796e+00,1.78838e-01,7.38002e-01,6.12811e-01,-9.34437e-01
1.39000e+01,8.67080e+00,1.83965e-01,1.07994e+00,6.05507e-01,-9.30774e-01
1.40000e+01,8.73363e+00,1.87770e-01,1.38884e+00,5.98375e-01,-9.27117e-01
1.41000e+01,8.79646e+00,1.84780e-01,1.71211e+00,5.91411e-01,-9.23465e-01
1.42000e+01,8.85929e+00,1.85151e-01,2.08533e+00,5.84606e-01,-9.19812e-01
1.43000e+01,8.92212e+00,1.98556e-01,2.45148e+00,5.77962e-01,-9.16179e-01
1.44000e+01,8.98495e+00,2.16995e-01,2.75053e+00,5.71467e-01,-9.12547e-01
1.45000e+01,9.04779e+00,2.28806e-01,3.00904e+00,5.65116e-01,-9.08911e-01
1.46000e+01,9.11062e+00,2.32539e-01,-3.02169e+00,5.58908e-01,-9.05285e-01
1.47000e+01,9.17345e+00,2.29893e-01,-2.75653e+00,5.52836e-01,-9.01664e-01
1.48000e+01,9.23628e+00,2.26363e-01,-2.46608e+00,5.46897e-01,-8.98046e-01
1.49000e+01,9.29911e+00,2.28048e-01,-2.17567e+00,5.41081e-01,-8.94452e-01
1.50000e+01,9.36195e+00,2.28931e-01,-1.91964e+00,5.35395e-01,-8.90832e-01
1.51000e+01,9.42478e+00,2.20523e-01,-1.68018e+00,5.29830e-01,-8.87231e-01
1.52000e+01,9.48761e+00,2.03041e-01,-1.42304e+00,5.24379e-01,-8.83631e-01
1.53000e+01,9.55044e+00,1.81657e-01,-1.12192e+00,5.19029e-01,-8.80008e-01
1.54000e+01,9.61327e+00,1.62797e-01,-7.62014e-01,5.13819e-01,-8.76458e-01
1.55000e+01,9.67611e+00,1.53331e-01,-3.52043e-01,5.08696e-01,-8.72873e-01
1.56000e+01,9.73894e+00,1.55575e-01,4.02771e-02,5.03684e-01,-8.69294e-01
1.57000e+01,9.80177e+00,1.59902e-01,3.62121e-01,4.98762e-01,-8.65709e-01
1.58000e+01,9.86460e+00,1.55348e-01,6.44827e-01,4.93943e-01,-8.62136e-01
1.59000e+01,9.92743e+00,1.40678e-01,9.55171e-01,4.89220e-01,-8.58565e-01
1.60000e+01,9.99026e+00,1.23264e-01,1.36033e+00,4.84577e-01,-8.55013e-01
1.61000e+01,1.00531e+01,1.17485e-01,1.87709e+00,4.80037e-01,-8.51447e-01
1.62000e+01,1.01159e+01,1.29975e-01,2.35912e+00,4.75580e-01,-8.47889e-01
1.63000e+01,1.01788e+01,1.47369e-01,2.73373e+00,4.71208e-01,-8.44336e-01
1.64000e+01,1.02416e+01,1.62391e-01,3.06077e+00,4.66917e-01,-8.40786e-01
1.65000e+01,1.03044e+01,1.74995e-01,-2.91806e+00,4.62707e-01,-8.37240e-01
1.66000e+01,1.03673e+01,1.84390e-01,-2.62483e+00,4.58574e-01,-8.33698e-01
1.67000e+01,1.04301e+01,1.90939e-01,-2.33135e+00,4.54520e-01,-8.30166e-01
1.68000e+01,1.04929e+01,1.96589e-01,-2.03348e+00,4.50534e-01,-8.26650e-01
1.69000e+01,1.05558e+01,2.02701e-01,-1.74249e+00,4.46623e-01,-8.23094e-01
1.70000e+01,1.06186e+01,2.05945e-01,-1.46752e+00,4.42784e-01,-8.19568e-01
1.71000e+01,1.06814e+01,2.03512e-01,-1.18796e+00,4.39006e-01,-8.16036e-01
1.72000e+01,1.07442e+01,1.98769e-01,-8.86984e-01,4.35298e-01,-8.12514e-01
1.73000e+01,1.08071e+01,1.94760e-01,-5.70152e-01,4.31661e-01,-8.08999e-01
1.74000e+01,1.08699e+01,1.91832e-01,-2.41638e-01,4.28081e-01,-8.05479e-01
1.75000e+01,1.09327e+01,1.92111e-01,9.84254e-02,4.24563e-01,-8.01965e-01
1.76000e+01,1.09956e+01,1.97776e-01,4.23367e-01,4.21106e-01,-7.98454e-01
1.77000e+01,1.10584e+01,2.01350e-01,7.09651e-01,4.17708e-01,-7.94946e-01
1.78000e+01,1.11212e+01,1.96709e-01,1.00094e+00,4.14367e-01,-7.91439e-01
1.79000e+01,1.11841e+01,1.92588e-01,1.32860e+00,4.11085e-01,-7.87932e-01
1.80000e+01,1.12469e+01,1.94030e-01,1.64604e+00,4.07872e-01,-7.84406e-01
1.81000e+01,1.13097e+01,1.90740e-01,1.93850e+00,4.04624e-01,-7.81015e-01
1.82000e+01,1.13726e+01,1.81989e-01,2.26315e+00,4.01521e-01,-7.77485e-01
1.83000e+01,1.14354e+01,1.78324e-01,2.62551e+00,3.98460e-01,-7.73973e-01
1.84000e+01,1.14982e+01,1.81581e-01,2.97589e+00,3.95431e-01,-7.70490e-01
1.85000e+01,1.15611e+01,1.85804e-01,-2.98670e+00,3.92454e-01,-7.67003e-01
1.86000e+01,1.16239e+01,1.86748e-01,-2.68542e+00,3.89523e-01,-7.63519e-01
1.87000e+01,1.16867e+01,1.82439e-01,-2.37977e+00,3.86638e-01,-7.60037e-01
1.88000e+01,1.17496e+01,1.75859e-01,-2.04368e+00,3.83799e-01,-7.56547e-01
1.89000e+01,1.18124e+01,1.73057e-01,-1.67764e+00,3.81000e-01,-7.53175e-01
1.90000e+01,1.18752e+01,1.76210e-01,-1.30924e+00,3.78249e-01,-7.49628e-01
1.91000e+01,1.19381e+01,1.84301e-01,-9.60563e-01,3.75539e-01,-7.46154e-01
1.92000e+01,1.20009e+01,1.93539e-01,-6.48571e-01,3.72870e-01,-7.42685e-01
1.93000e+01,1.20637e+01,1.97982e-01,-3.54399e-01,3.70242e-01,-7.39220e-01
1.94000e+01,1.21265e+01,1.99811e-01,-5.29464e-02,3.67652e-01,-7.35757e-01
1.95000e+01,1.21894e+01,2.00694e-01,2.48127e-01,3.65102e-01,-7.32296e-01
1.96000e+01,1.22522e+01,1.99444e-01,5.59712e-01,3.62588e-01,-7.28835e-01
1.97000e+01,1.23150e+01,2.02099e-01,8.86120e-01,3.60113e-01,-7.25383e-01
1.98000e+01,1.23779e+01,2.09085e-01,1.18417e+00,3.57674e-01,-7.21928e-01
1.99000e+01,1.24407e+01,2.11734e-01,1.45254e+00,3.55270e-01,-7.18477e-01
2.00000e+01,1.25035e+01,2.08986e-01,1.71679e+00,3.52901e-01,-7.15027e-01
2.01000e+01,1.25664e+01,2.01196e-01,1.97814e+00,3.50566e-01,-7.11580e-01
2.02000e+01,1.26292e+01,1.86787e-01,2.25033e+00,3.48264e-01,-7.08134e-01
2.03000e+01,1.26920e+01,1.67096e-01,2.55945e+00,3.45995e-01,-7.04689e-01
2.04000e+01,1.27549e+01,1.47883e-01,2.94685e+00,3.43747e-01,-7.01218e-01
2.05000e+01,1.28177e+01,1.40754e-01,-2.87156e+00,3.41567e-01,-6.97826e-01
2.06000e+01,1.28805e+01,1.49875e-01,-2.42977e+00,3.39374e-01,-6.94375e-01
2.07000e+01,1.29434e+01,1.64789e-01,-2.07846e+00,3.37232e-01,-6.90940e-01
2.08000e+01,1.30062e+01,1.74742e-01,-1.78247e+00,3.35118e-01,-6.87506e-01
2.09000e+01,1.30690e+01,1.78163e-01,-1.49259e+00,3.33032e-01,-6.84074e-01
2.10000e+01,1.31319e+01,1.79395e-01,-1.19647e+00,3.30976e-01,-6.80641e-01
2.11000e+01,1.31947e+01,1.78365e-01,-9.08421e-01,3.28952e-01,-6.77197e-01
2.12000e+01,1.32575e+01,1.72195e-01,-6.17179e-01,3.26927e-01,-6.73840e-01
2.13000e+01,1.33204e+01,1.62916e-01,-2.97552e-01,3.24962e-01,-6.70386e-01
2.14000e+01,1.33832e+01,1.54418e-01,4.97276e-02,3.23014e-01,-6.66959e-01
2.15000e+01,1.34460e+01,1.46619e-01,4.25817e-01,3.21092e-01,-6.63537e-01
2.16000e+01,1.35088e+01,1.44355e-01,8.42375e-01,3.19195e-01,-6.60117e-01
2.17000e+01,1.35717e+01,1.50968e-01,1.24420e+00,3.17323e-01,-6.56700e-01
2.18000e+01,1.36345e+01,1.59528e-01,1.60552e+00,3.15477e-01,-6.53285e-01
2.19000e+01,1.36973e+01,1.68026e-01,1.95944e+00,3.13663e-01,-6.49869e-01
2.20000e+01,1.37602e+01,1.80797e-01,2.29712e+00,3.11875e-01,-6.46512e-01
2.21000e+01,1.38230e+01,1.93319e-01,2.59273e+00,3.10049e-01,-6.43038e-01
2.22000e+01,1.38858e+01,1.99931e-01,2.87473e+00,3.08303e-01,-6.39635e-01
2.23000e+01,1.39487e+01,2.02708e-01,-3.11804e+00,3.06573e-01,-6.36229e-01
2.24000e+01,1.40115e+01,2.03746e-01,-2.81441e+00,3.04863e-01,-6.32824e-01
2.25000e+01,1.40743e+01,2.06726e-01,-2.49858e+00,3.03174e-01,-6.29420e-01
2.26000e+01,1.41372e+01,2.12543e-01,-2.19335e+00,3.01506e-01,-6.26018e-01
2.27000e+01,1.42000e+01,2.17534e-01,-1.90474e+00,2.99859e-01,-6.22617e-01
2.28000e+01,1.42628e+01,2.19852e-01,-1.62809e+00,2.98233e-01,-6.19218e-01
2.29000e+01,1.43257e+01,2.16908e-01,-1.35587e+00,2.96629e-01,-6.15819e-01
2.30000e+01,1.43885e+01,2.09369e-01,-1.06694e+00,2.95057e-01,-6.12423e-01
2.31000e+01,1.44513e+01,2.00631e-01,-7.56392e-01,2.93456e-01,-6.09035e-01
2.32000e+01,1.45142e+01,1.92235e-01,-4.15200e-01,2.91915e-01,-6.05637e-01
2.33000e+01,1.45770e+01,1.91681e-01,-4.13530e-02,2.90388e-01,-6.02244e-01
2.34000e+01,1.46398e+01,2.02871e-01,3.00126e-01,2.88880e-01,-5.98853e-01
2.35000e+01,1.47027e+01,2.12866e-01,5.74332e-01,2.87410e-01,-5.95470e-01
2.36000e+01,1.47655e+01,2.12307e-01,8.27362e-01,2.85890e-01,-5.92063e-01
2.37000e+01,1.48283e+01,2.04613e-01,1.09461e+00,2.84441e-01,-5.88669e-01
2.38000e+01,1.48911e+01,1.93120e-01,1.37751e+00,2.82996e-01,-5.85357e-01
2.39000e+01,1.49540e+01,1.77973e-01,1.68617e+00,2.81576e-01,-5.81928e-01
2.40000e+01,1.50168e+01,1.63149e-01,2.04646e+00,2.80170e-01,-5.78539e-01
2.41000e+01,1.50796e+01,1.55989e-01,2.45043e+00,2.78782e-01,-5.75178e-01
2.42000e+01,1.51425e+01,1.57984e-01,2.85074e+00,2.77407e-01,-5.71770e-01
2.43000e+01,1.52053e+01,1.64282e-01,-3.07484e+00,2.76044e-01,-5.68402e-01
2.44000e+01,1.52681e+01,1.67353e-01,-2.74351e+00,2.74702e-01,-5.65027e-01
2.45000e+01,1.53310e+01,1.68833e-01,-2.39485e+00,2.73376e-01,-5.61642e-01
2.46000e+01,1.53938e+01,1.76390e-01,-2.04500e+00,2.72064e-01,-5.58263e-01
2.47000e+01,1.54566e+01,1.86485e-01,-1.74532e+00,2.70772e-01,-5.54893e-01
2.48000e+01,1.55195e+01,1.88439e-01,-1.48068e+00,2.69488e-01,-5.51505e-01
2.49000e+01,1.55823e+01,1.80732e-01,-1.19147e+00,2.68227e-01,-5.48121e-01
